division,region,heatdd,cooldd,tempjan,tempjuly,agecat
N. Eng.,NE,,,16.6,69.6,19-29
N. Eng.,NE,7947.0,250.0,18.2,68.0,19-29
Mid Atl,NE,7480.0,424.0,18.4,70.2,19-29
N. Eng.,NE,7482.0,353.0,19.9,69.5,19-29
N. Eng.,NE,7482.0,353.0,19.9,69.5,19-29
Mid Atl,NE,7368.0,425.0,20.1,69.8,19-29
Mid Atl,NE,7368.0,425.0,20.1,69.8,19-29
N. Eng.,NE,7351.0,390.0,20.6,70.2,19-29
Mid Atl,NE,6927.0,494.0,21.1,71.4,19-29
Mid Atl,NE,6927.0,494.0,21.1,71.4,19-29
N. Eng.,NE,6927.0,494.0,21.1,71.4,19-29
Mid Atl,NE,6927.0,494.0,21.1,71.4,19-29
Mid Atl,NE,7344.0,330.0,21.2,68.9,19-29
N. Eng.,NE,7501.0,254.0,21.5,68.1,19-29
Mid Atl,NE,7177.0,328.0,22.2,68.8,19-29
Mid Atl,NE,7379.0,239.0,22.3,66.5,19-29
N. Eng.,NE,7081.0,351.0,22.6,69.8,19-29
N. Eng.,NE,7081.0,351.0,22.6,69.8,19-29
Mid Atl,NE,6787.0,506.0,22.8,70.9,19-29
Mid Atl,NE,6787.0,506.0,22.8,70.9,19-29
N. Eng.,NE,6950.0,359.0,23.3,69.9,19-29
Mid Atl,NE,6911.0,371.0,23.3,69.4,19-29
Mid Atl,NE,6927.0,411.0,23.5,69.8,19-29
Mid Atl,NE,6798.0,476.0,23.5,70.7,19-29
Mid Atl,NE,6798.0,476.0,23.5,70.7,19-29
Mid Atl,NE,6798.0,476.0,23.5,70.7,19-29
Mid Atl,NE,6713.0,531.0,23.6,71.3,19-29
N. Eng.,NE,6619.0,523.0,24.1,71.9,19-29
N. Eng.,NE,6619.0,523.0,24.1,71.9,19-29
N. Eng.,NE,6671.0,359.0,24.2,69.5,19-29
Mid Atl,NE,6366.0,591.0,24.4,72.4,19-29
Mid Atl,NE,6768.0,402.0,24.5,69.1,19-29
Mid Atl,NE,6330.0,569.0,25.2,71.8,19-29
Mid Atl,NE,6330.0,569.0,25.2,71.8,19-29
N. Eng.,NE,6205.0,613.0,25.6,73.1,19-29
Mid Atl,NE,6406.0,486.0,25.8,70.8,19-29
N. Eng.,NE,6232.0,563.0,25.8,72.6,19-29
N. Eng.,NE,6232.0,563.0,25.8,72.6,19-29
Mid Atl,NE,6247.0,559.0,25.9,71.5,19-29
N. Eng.,NE,6156.0,600.0,26.2,72.7,19-29
N. Eng.,NE,6156.0,600.0,26.2,72.7,19-29
Mid Atl,NE,6047.0,659.0,26.2,72.5,19-29
N. Eng.,NE,6156.0,600.0,26.2,72.7,19-29
N. Eng.,NE,6024.0,667.0,26.4,73.5,19-29
N. Eng.,NE,5953.0,699.0,26.6,73.6,19-29
N. Eng.,NE,6100.0,521.0,26.6,71.7,19-29
N. Eng.,NE,5953.0,699.0,26.6,73.6,30-34
N. Eng.,NE,5953.0,699.0,26.6,73.6,30-34
N. Eng.,NE,5953.0,699.0,26.6,73.6,30-34
N. Eng.,NE,5953.0,699.0,26.6,73.6,30-34
Mid Atl,NE,5950.0,645.0,26.7,72.0,30-34
Mid Atl,NE,5950.0,645.0,26.7,72.0,30-34
